Atomic Number,Symbol,Period,Group,Electronegativity,Calculated Radius,First Ionization,Core Configuration,Heat of Vapor,Covalent Radius,Heat of Fusion,Bulk Modulus,Boiling Point,Brinell Hardness,Melting Point,STP Density,Young Modulus,Shear Modulus,Vickers Hardness,Name,Common Ions,Second Ionization,Mass,Van der Waals Radius,Specific Heat,Thermal Cond.,Third Ionization,Series,Electron Affinity,Mohs Hardness,Empirical Radius
1,H,1,1,2.2,53,1312,1s1,0.452,37,0.558,Unknown,20.28,Unknown,14.01,0.0899,Unknown,Unknown,Unknown,Hydrogen,H+,Unknown,1.00794,120,14300,0.1805,Unknown,Nonmetal,72.8,Unknown,25
2,He,1,18,Unknown,31,2372.3,1s2,0.083,32,0.02,Unknown,4.22,Unknown,0,0.1785,Unknown,Unknown,Unknown,Helium,NA,5250.5,4.002602,140,5193.1,0.1513,Unknown,Noble Gas,0,Unknown,Unknown
3,Li,2,1,0.98,167,520.2,[He] 2s1,147,134,3,11,1615,Unknown,453.69,535,4.9,4.2,Unknown,Lithium,Li+,7298.1,6.941,182,3570,85,11815,Alkali Metal,59.6,0.6,145
4,Be,2,2,1.57,112,899.5,[He] 2s2,297,90,7.95,130,2743,600,1560,1848,287,132,1670,Beryllium,Be2+,1757.1,9.012182,Unknown,1820,190,14848.7,Alkaline Earth Metal,0,5.5,105
5,B,2,13,2.04,87,800.6,[He] 2s2 2p1,507,82,50,320,4273,Unknown,2348,2460,Unknown,Unknown,49000,Boron,NA,2427.1,10.811,Unknown,1030,27,3659.7,Metalloid,26.7,9.3,85
6,C,2,14,2.55,67,1086.5,[He] 2s2 2p2,715,77,105,33,4300,Unknown,3823,2260,Unknown,Unknown,Unknown,Carbon,C4-,2352.6,12.0107,170,710,140,4620.5,Nonmetal,153.9,0.5,70
7,N,2,15,3.04,56,1402.3,[He] 2s2 2p3,2.79,75,0.36,Unknown,77.36,Unknown,63.05,1.251,Unknown,Unknown,Unknown,Nitrogen,N3-,2856,14.0067,155,1040,0.02583,4578.1,Nonmetal,7,Unknown,65
8,O,2,16,3.44,48,1313.9,[He] 2s2 2p4,3.41,73,0.222,Unknown,90.2,Unknown,54.8,1.429,Unknown,Unknown,Unknown,Oxygen,O2-,3388.3,15.9994,152,919,0.02658,5300.5,Nonmetal,141,Unknown,60
9,F,2,17,3.98,42,1681,[He] 2s2 2p5,3.27,71,0.26,Unknown,85.03,Unknown,53.5,1.696,Unknown,Unknown,Unknown,Fluorine,F-,3374.2,18.9984032,147,824,0.0277,6050.4,Halogen,328,Unknown,50
10,Ne,2,18,Unknown,38,2080.7,[He] 2s2 2p6,1.75,69,0.34,Unknown,27.07,Unknown,24.56,0.9,Unknown,Unknown,Unknown,Neon,NA,3952.3,20.1797,154,1030,0.0491,6122,Noble Gas,0,Unknown,Unknown
11,Na,3,1,0.93,190,495.8,[Ne] 3s1,97.7,154,2.6,6.3,1156,0.69,370.87,968,10,3.3,Unknown,Sodium,Na+,4562,22.9898,227,1230,140,6910.3,Alkali Metal,52.8,0.5,180
12,Mg,3,2,1.31,145,737.7,[Ne] 3s2,128,130,8.7,45,1363,260,923,1738,45,17,Unknown,Magnesium,Mg2+,1450.7,24.305,173,1020,160,7732.7,Alkaline Earth Metal,0,2.5,150
13,Al,3,13,1.61,118,577.5,[Ne] 3s2 3p1,293,118,10.7,76,2792,245,933.47,2700,70,26,167,Aluminum,Al3+,1816.7,26.9815,Unknown,904,235,2744.8,Post-Transition Metal,42.5,2.75,125
14,Si,3,14,1.9,111,786.5,[Ne] 3s2 3p2,359,111,50.2,100,3173,Unknown,1687,2330,47,Unknown,Unknown,Silicon,NA,1577.1,28.0855,210,710,150,3231.6,Metalloid,133.6,6.5,110
15,P,3,15,2.19,98,1011.8,[Ne] 3s2 3p3,12.4,106,0.64,11,553.6,Unknown,317.3,1823,Unknown,Unknown,Unknown,Phosphorus,P3-,1907,30.9738,180,769.7,0.236,2914.1,Nonmetal,72,Unknown,100
16,S,3,16,2.58,88,999.6,[Ne] 3s2 3p4,9.8,102,1.73,7.7,717.87,Unknown,388.36,1960,Unknown,Unknown,Unknown,Sulfur,S2-,2252,32.065,180,705,0.205,3357,Nonmetal,200,2,100
